game,who_won
0,d-red
1,h-yellow
2,d-red
3,d-red
4,h-yellow
5,h-red
6,d-yellow
7,v-red
8,d-red
9,v-red
10,h-red
11,h-yellow
12,h-yellow
13,h-red
14,d-yellow
15,h-red
16,h-yellow
17,v-yellow
18,d-yellow
19,h-yellow
20,d-yellow
21,d-yellow
22,d-yellow
23,h-yellow
24,h-yellow
25,v-red
26,d-yellow
27,d-yellow
28,v-yellow
29,v-yellow
30,h-yellow
31,v-yellow
32,d-yellow
33,d-yellow
34,d-yellow
35,h-red
36,h-yellow
37,h-yellow
38,h-red
39,h-yellow
40,h-red
41,tie
42,d-yellow
43,h-red
44,d-yellow
45,d-red
46,d-yellow
47,d-yellow
48,h-yellow
49,d-red
50,h-yellow
51,d-yellow
52,h-red
53,d-red
54,h-yellow
55,h-yellow
56,h-red
57,v-yellow
58,d-yellow
59,d-red
60,h-red
61,h-red
62,v-red
63,d-red
64,d-red
65,d-red
66,d-red
67,tie
68,h-red
69,h-yellow
70,h-yellow
71,d-yellow
72,h-yellow
73,h-yellow
74,h-red
75,v-yellow
76,d-yellow
77,h-yellow
78,h-red
79,h-red
80,d-yellow
81,d-red
82,d-red
83,h-yellow
84,h-red
85,h-red
86,v-yellow
87,h-red
88,h-red
89,h-yellow
90,tie
91,d-yellow
92,h-yellow
93,d-red
94,d-yellow
95,d-yellow
96,d-red
97,h-yellow
98,h-yellow
99,d-red
100,h-yellow
101,d-yellow
102,h-red
103,d-red
104,h-yellow
105,d-red
106,h-red
107,h-red
108,d-red
109,h-red
110,d-yellow
111,d-red
112,h-yellow
113,h-yellow
114,d-yellow
115,h-red
116,d-yellow
117,d-yellow
118,d-yellow
119,h-yellow
120,h-yellow
121,h-yellow
122,d-red
123,d-red
124,h-red
125,d-yellow
126,v-yellow
127,v-yellow
128,tie
129,d-red
130,d-red
131,h-red
132,v-red
133,h-red
134,v-yellow
135,h-yellow
136,h-red
137,h-red
138,d-yellow
139,h-yellow
140,d-red
141,h-yellow
142,d-yellow
143,h-yellow
144,h-red
145,h-yellow
146,h-red
147,d-yellow
148,d-yellow
149,d-yellow
150,d-yellow
151,h-yellow
152,d-yellow
153,d-yellow
154,d-red
155,h-yellow
156,h-red
157,d-yellow
158,h-red
159,h-yellow
160,h-yellow
161,d-yellow
162,d-yellow
163,d-yellow
164,d-red
165,d-red
166,d-yellow
167,d-yellow
168,d-red
169,d-yellow
170,d-yellow
171,h-yellow
172,h-yellow
173,d-red
174,v-red
175,h-red
176,h-yellow
177,h-yellow
178,d-yellow
179,h-yellow
180,h-yellow
181,h-red
182,h-yellow
183,h-red
184,h-yellow
185,h-yellow
186,h-red
187,h-red
188,h-yellow
189,h-yellow
190,h-red
191,d-yellow
192,d-yellow
193,h-yellow
194,h-yellow
195,h-red
196,h-yellow
197,h-red
198,h-red
199,h-yellow
200,d-red
201,d-red
202,h-red
203,d-red
204,h-red
205,d-red
206,h-yellow
207,h-yellow
208,h-red
209,d-red
210,h-yellow
211,d-red
212,h-yellow
213,h-red
214,h-red
215,h-yellow
216,h-red
217,d-red
218,d-red
219,v-yellow
220,h-red
221,h-yellow
222,h-red
223,h-red
224,h-yellow
225,tie
226,h-yellow
227,h-red
228,h-red
229,h-yellow
230,d-red
231,h-yellow
232,h-yellow
233,h-red
234,v-red
235,h-red
236,d-yellow
237,h-yellow
238,h-yellow
239,d-yellow
240,h-red
241,h-red
242,d-red
243,h-yellow
244,d-red
245,h-yellow
246,d-red
247,v-yellow
248,h-red
249,v-red
250,h-red
251,h-red
252,d-yellow
253,d-red
254,d-red
255,d-yellow
256,d-red
257,d-yellow
258,d-red
259,d-yellow
260,d-yellow
261,d-red
262,h-yellow
263,h-red
264,h-red
265,h-red
266,d-yellow
267,tie
268,v-yellow
269,h-red
270,tie
271,h-yellow
272,h-yellow
273,h-yellow
274,tie
275,v-yellow
276,h-red
277,h-yellow
278,h-red
279,tie
280,d-yellow
281,d-red
282,tie
283,d-yellow
284,d-yellow
285,d-yellow
286,d-yellow
287,h-yellow
288,d-red
289,h-red
290,h-yellow
291,d-yellow
292,d-yellow
293,d-yellow
294,d-red
295,d-yellow
296,tie
297,h-yellow
298,h-yellow
299,d-red
300,d-yellow
301,d-yellow
302,v-red
303,h-yellow
304,h-red
305,h-yellow
306,h-red
307,h-yellow
308,h-red
309,h-red
310,h-red
311,h-red
312,h-yellow
313,d-yellow
314,d-yellow
315,h-yellow
316,h-red
317,d-red
318,d-yellow
319,v-red
320,h-yellow
321,h-red
322,d-red
323,h-red
324,d-red
